Fonches: 312.283737; 5524.82853!
Moiron: 617.36868; 5176.804347!
Les Pujols: 190.692672; 4782.757011!
La Chapelle-Baloue: 174.978735; 5145.918264!
Bezac: 174.862518; 4789.491714!
Sarraguzan: 37.484145; 4812.54708!
Valserres: 680.21133; 4938.311745!
Freville: 622.653279; 5364.105636!
Romenay: 562.662885; 5161.731324!
Falcou: 114.644019; 4983.865146!
Cite Chauvin: 18.774429; 5493.765624!
Calviac: 84.157869; 4940.417526!
Ventouse: 36.812262; 5094.38163!
Trezioux: 385.313079; 5075.189175!
Emanville: 106.555227; 5508.075078!
Roiglise: 313.978818; 5514.849963!
Bleigny: 385.6917; 5291.465682!
Pourcheres: 500.277999; 4966.936758!
Kerleguer: -471.75; 5305.8!
Thilleux: 533.050083; 5376.742986!
Auverse: 5.887773; 5274.518979!
Kerguzul: -371.702925; 5343.078129!
Roville: 140.600037; 5514.849963!
La Guillotiere: 538.110906; 5078.93376!
Petitmont: 772.252641; 5389.846647!
La Cougotte-Cadoul: 202.903116; 4844.15544!
Badecon: 177.6; 5167.05!
Ferce: -157.213074; 5305.282185!
Montour: 18.282255; 5237.938707!
Solbach: 799.576734; 5375.434962!
Pont-Remy: 211.257198; 5556.187917!
Willeman: 239.603157; 5589.228954!
Thoverat: 116.824947; 5116.57497!
Puymory: 152.092977; 5069.119584!
Broons-sur-Vilaine: -157.76874; 5342.514915!
Sechilienne: 647.748603; 5001.028965!
Les Aubues: 342.16083; 5229.254733!
Chalautre-la-Grande: 384.097296; 5388.12426!
Les Ardillats: 504.087075; 5125.960353!
Clirey: 504.376452; 5268.747201!
Sainte-Croix-du-Mont: -30.174462; 4949.908803!
Saignon: 602.487798; 4868.661576!
La Brardiere: 34.380696; 5312.077716!
Champignol: 278.1216; 5417.760372!
Infray: 181.014915; 5548.204242!
Beauge: 25.102095; 5377.091859!
La Foi: 111.843156; 5191.381089!
Saint-Julien-de-Crempse: 58.192638; 4989.578982!
Haudricourt: 189.267876; 5520.452799!
Beauvilliers: 448.597953; 5262.985968!
Jayet: 619.472241; 5047.914477!
Thugny-Trugny: 491.390007; 5492.709126!
Hirtzfelden: 826.582368; 5318.098023!
Sains-en-Gohelle: 297.813999; 5599.408542!
Aguessac: 343.965801; 4901.3715!
La Quarte: 632.188179; 5302.901457!
La Fromiere: -149.541864; 5304.381309!
La Charonnerie: 203.815869; 5245.088106!
Les Faysses: 658.244208; 4932.377463!
Vendin-le-Vieil: 318.208473; 5602.596906!
Senlecques: 214.932963; 5621.736636!
Montagut: -55.922577; 4833.65484!
His: 107.474307; 4780.304799!
